base_quarter,industry_code,density_group,sample_count,density_min,density_median,density_max,total_sales_median,sales_per_store_median
20261,CS100001,high,281,5.729660849914972,8.177060619276057,53.52960856473737,2181072165.0,62892712.52972973
20261,CS100001,low,281,0.0765084599229559,0.8921880018557511,1.2335019119279635,279473638.0,37465549.5
20261,CS100001,lower_middle,281,1.2342936137648424,1.597359033065332,1.9930641368039224,570682280.0,37460974.222222224
20261,CS100001,middle,280,2.0034559615336454,2.542137660900738,3.274087932647334,1005255399.0,43747859.73060157
20261,CS100001,upper_middle,281,3.284311936649272,4.243881737162258,5.677999490138822,1754234877.0,55353873.84
20261,CS100002,high,89,0.8741831850864348,1.3184660589165975,7.925875528683954,415516715.0,37855302.4
20261,CS100002,low,90,0.0553481026670405,0.20637576348979456,0.280869947851813,147739168.0,36051411.21428572
20261,CS100002,lower_middle,89,0.2815262476304874,0.3371979970438975,0.4110405491501736,137245280.0,29136837.33333333
20261,CS100002,middle,89,0.4125752949913359,0.4983045779953444,0.5922416345869115,270674144.0,35481104.0
20261,CS100002,upper_middle,89,0.5928937449709906,0.7089684509039348,0.8659451899991989,274425051.0,40928087.333333336
20261,CS100003,high,67,1.161737029206069,1.5704750687082842,8.014961261020572,1129558532.0,62220264.4
20261,CS100003,low,67,0.0804746933914181,0.2532030181799767,0.3276119545602219,99520385.0,22440290.5
20261,CS100003,lower_middle,66,0.336899981133601,0.45402999860498255,0.5590535223865994,151782104.0,28913322.95
20261,CS100003,middle,66,0.5604299120125038,0.6711993086364003,0.7931943921156477,340278694.0,38786784.5
20261,CS100003,upper_middle,66,0.7973672383548139,0.926970774448191,1.1330160888284613,363771762.5,35797218.25
20261,CS100004,high,66,1.520912547528517,2.3829158238386086,9.458053532582996,949699648.5,43298688.37579787
20261,CS100004,low,67,0.048705014830677,0.3024940635540027,0.4218741760269999,97479316.0,18551670.666666668
20261,CS100004,lower_middle,66,0.4313133491481561,0.5323177423076382,0.6884365605709434,186737196.0,24472759.27777778
20261,CS100004,middle,66,0.6902549801896821,0.8425992048365132,0.9831736846540634,330510958.0,28596891.17647059
20261,CS100004,upper_middle,66,0.9896951738864428,1.1942584627446375,1.517642595168838,387700847.0,22846880.14102564
20261,CS100005,high,86,0.9300595238095238,1.23310831737973,18.37270341207349,238932075.0,33689463.3
20261,CS100005,low,86,0.0660298454901615,0.2283887180242318,0.2981581281632714,186684484.0,35474139.04166667
20261,CS100005,lower_middle,86,0.3015439047925378,0.3714209071602584,0.4693907801768862,221387539.5,42974280.297619045
20261,CS100005,middle,86,0.4705365685336512,0.5507228080690287,0.6414025335400075,266425642.5,36594663.847222224
20261,CS100005,upper_middle,86,0.6430055918522006,0.7754213424623395,0.9248093043214488,316995184.0,42468195.0
20261,CS100006,high,80,0.9244992295839752,1.1859127969255723,6.643635397289397,180452332.0,23490676.166666664
20261,CS100006,low,80,0.0995840705320777,0.23060451578597554,0.3150419950979465,42685665.0,12509407.666666668
20261,CS100006,lower_middle,79,0.316448185565216,0.385044857725925,0.4514366972891226,76746279.0,11090672.0
20261,CS100006,middle,79,0.4518286149516543,0.513294322964788,0.5958847283911571,145709398.0,16301384.866666667
20261,CS100006,upper_middle,79,0.598175564528189,0.7145409074669525,0.9177595653490698,233845552.0,25849616.6
20261,CS100007,high,101,0.7936885883454768,1.1024142872891631,5.154107823935677,76073972.0,14383081.166666666
20261,CS100007,low,101,0.0821861516334497,0.1811430124082963,0.2456278247199843,54990629.0,14072106.666666666
20261,CS100007,lower_middle,100,0.2470477790404664,0.28803442519748157,0.3507325927030084,64995381.0,14450614.875
20261,CS100007,middle,101,0.3507465505425779,0.4310298380405384,0.5178932104200115,70337060.0,13137369.3
20261,CS100007,upper_middle,100,0.5203076058565824,0.6382632976127818,0.7931629354960242,78963769.0,15113685.25
20261,CS100008,high,157,1.4994296473303508,2.3089355806972987,12.75009807767752,249000000.0,26595150.625
20261,CS100008,low,157,0.0660298454901615,0.2997332374186973,0.394170222410548,41561036.0,10490543.0
20261,CS100008,lower_middle,157,0.3948511411197978,0.4857119728001295,0.5775450485137841,78954427.0,13636569.333333334
20261,CS100008,middle,156,0.5777841976021956,0.7363050210351699,0.920568122041031,136146897.0,18508719.748120304
20261,CS100008,upper_middle,157,0.9211835366078336,1.1243113592924334,1.4969673506258874,215829086.0,21395237.666666668
20261,CS100009,high,176,1.9763822323237312,2.9271976388331655,16.029922522041144,789980792.5,39664440.40698795
20261,CS100009,low,176,0.0906390962677841,0.32847680766248966,0.4316997096819452,74819141.0,18155633.791666664
20261,CS100009,lower_middle,176,0.4322417787613679,0.5593206669876982,0.694890815280649,117863720.5,17888104.7
20261,CS100009,middle,176,0.6981568658740923,0.8401559444241208,1.070411680332256,183918254.0,21283237.35652174
20261,CS100009,upper_middle,176,1.07461403445929,1.4093299302005526,1.9760893192372293,377289215.0,28216507.670454547
20261,CS100010,high,213,2.27411459143736,3.0948573786558,44.61942257217848,617484608.0,25728525.33333333
20261,CS100010,low,213,0.129880039548472,0.5012782595618829,0.6766030659784646,47237497.0,8224349.75
20261,CS100010,lower_middle,212,0.677897163000373,0.8448662627730936,1.036545637623645,77174261.5,8905723.638888888
20261,CS100010,middle,213,1.03664541543565,1.2797230922985046,1.534644601887613,144766819.0,12832473.551724138
20261,CS100010,upper_middle,212,1.5420575917930073,1.8591976347911252,2.2735023303398885,283416540.0,16913739.547169812
